season_id,season_name,season_year,team_id,team_name,matches_played,wins,draws,losses,total_points,points_per_game,goals_for,goals_against,goal_difference,goals_per_game,goals_conceded_per_game,clean_sheets,clean_sheet_percentage
76477,Ekstraklasa 25/26,25/26,3110,Górnik Zabrze,17,9,3,5,30,1.76,27,19,8,1.59,1.12,4,23.5
76477,Ekstraklasa 25/26,25/26,3122,Wisła Płock,16,7,7,2,28,1.75,20,11,9,1.25,0.69,5,31.3
76477,Ekstraklasa 25/26,25/26,7691,Jagiellonia Białystok,15,8,4,3,28,1.87,27,18,9,1.80,1.20,5,33.3
76477,Ekstraklasa 25/26,25/26,35268,Raków Częstochowa,16,8,2,6,26,1.63,25,22,3,1.56,1.38,3,18.8
76477,Ekstraklasa 25/26,25/26,7295,Radomiak Radom,17,7,4,6,25,1.47,33,28,5,1.94,1.65,3,17.6
76477,Ekstraklasa 25/26,25/26,3121,Lech Poznań,16,6,7,3,25,1.56,27,24,3,1.69,1.50,4,25.0
76477,Ekstraklasa 25/26,25/26,4901,Cracovia,16,7,4,5,25,1.56,23,19,4,1.44,1.19,7,43.8
76477,Ekstraklasa 25/26,25/26,5065,MKS Korona Kielce,17,6,5,6,23,1.35,20,18,2,1.18,1.06,6,35.3
76477,Ekstraklasa 25/26,25/26,3113,Zagłębie Lubin,16,5,7,4,22,1.38,28,23,5,1.75,1.44,4,25.0
76477,Ekstraklasa 25/26,25/26,7913,KS Lechia Gdańsk,17,6,4,7,22,1.29,32,35,-3,1.88,2.06,2,11.8
76477,Ekstraklasa 25/26,25/26,3115,Widzew Łódź,17,6,2,9,20,1.18,25,26,-1,1.47,1.53,4,23.5
76477,Ekstraklasa 25/26,25/26,3117,Pogoń Szczecin,17,6,2,9,20,1.18,26,30,-4,1.53,1.76,1,5.9
76477,Ekstraklasa 25/26,25/26,3112,GKS Katowice,16,6,2,8,20,1.25,23,27,-4,1.44,1.69,3,18.8
76477,Ekstraklasa 25/26,25/26,7915,Motor Lublin,16,4,8,4,20,1.25,22,26,-4,1.38,1.63,4,25.0
76477,Ekstraklasa 25/26,25/26,3106,Legia Warszawa,16,4,7,5,19,1.19,19,18,1,1.19,1.13,5,31.3
